Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_male,Boruta,20,std_delta_delta_log_energy (MFCC),0.02873547008547008,0.029907097578471663
baseline_male,Boruta,20,tqwt_kurtosisValue_dec_18 (TQWT),0.024652777777777777,0.018308675435801794
baseline_male,Boruta,20,std_6th_delta_delta (MFCC),0.022649145299145294,0.016955750604418535
baseline_male,Boruta,20,tqwt_entropy_log_dec_35 (TQWT),0.02246990740740741,0.016109108767427844
baseline_male,Boruta,20,std_delta_log_energy (MFCC),0.02077222222222222,0.022128985191896062
baseline_male,Boruta,20,tqwt_energy_dec_26 (TQWT),0.02025925925925926,0.025149091265945618
baseline_male,Boruta,20,tqwt_entropy_log_dec_33 (TQWT),0.016858796296296295,0.013953299589083189
baseline_male,Boruta,20,mean_MFCC_2nd_coef (MFCC),0.01658538011695906,0.017401396722249843
baseline_male,Boruta,20,std_6th_delta (MFCC),0.016390058479532163,0.01451487279563839
baseline_male,Boruta,20,std_7th_delta_delta (MFCC),0.01578076923076923,0.011181304937170525
baseline_male,Boruta,20,tqwt_entropy_log_dec_12 (TQWT),0.015164750957854408,0.016598260276953686
baseline_male,Boruta,20,tqwt_entropy_log_dec_34 (TQWT),0.014974537037037034,0.012886669232742102
baseline_male,Boruta,20,tqwt_entropy_shannon_dec_12 (TQWT),0.014462643678160924,0.019383001522269808
baseline_male,Boruta,20,std_11th_delta_delta (MFCC),0.014004444444444448,0.007508752317220309
baseline_male,Boruta,20,tqwt_energy_dec_11 (TQWT),0.013630158730158728,0.016092188246756525
baseline_male,Boruta,20,std_7th_delta (MFCC),0.01331578947368421,0.01001717442500628
baseline_male,Boruta,20,tqwt_energy_dec_12 (TQWT),0.013256038647342996,0.020006852986660772
baseline_male,Boruta,20,tqwt_entropy_log_dec_11 (TQWT),0.013251587301587302,0.010145227224017764
baseline_male,Boruta,20,tqwt_TKEO_std_dec_12 (TQWT),0.012813756613756616,0.01679828247855482
baseline_male,Boruta,20,tqwt_TKEO_mean_dec_13 (TQWT),0.012579365079365077,0.012299635514153815
baseline_male,Boruta,20,tqwt_maxValue_dec_12 (TQWT),0.012342995169082122,0.011829186102104048
baseline_male,Boruta,20,apq11Shimmer (Baseline),0.012211111111111112,0.010194774810334628
baseline_male,Boruta,20,std_9th_delta_delta (MFCC),0.012109829059829057,0.010912107781217902
baseline_male,Boruta,20,std_8th_delta_delta (MFCC),0.010481623931623926,0.0069831286614379685
baseline_male,Boruta,20,tqwt_TKEO_std_dec_13 (TQWT),0.01047301587301587,0.01069013153761039
baseline_male,Boruta,20,tqwt_energy_dec_27 (TQWT),0.010120634920634919,0.011001250298943666
baseline_male,Boruta,20,tqwt_stdValue_dec_11 (TQWT),0.009864066193853428,0.009759338280100161
baseline_male,Boruta,20,tqwt_TKEO_std_dec_11 (TQWT),0.009340425531914888,0.01251172263558031
baseline_male,Boruta,20,tqwt_entropy_shannon_dec_11 (TQWT),0.00904373522458629,0.010225273027558893
baseline_male,Boruta,20,tqwt_TKEO_mean_dec_12 (TQWT),0.00889506172839506,0.011181482845153754
baseline_male,Boruta,20,std_12th_delta (MFCC),0.008733333333333333,0.007152930477392773
baseline_male,Boruta,20,tqwt_entropy_shannon_dec_13 (TQWT),0.00835873015873016,0.008277724102717867
baseline_male,Boruta,20,std_9th_delta (MFCC),0.007905982905982906,0.00664144703553264
baseline_male,Boruta,20,std_Log_energy (MFCC),0.007826530612244897,0.008111942207268026
baseline_male,Boruta,20,std_11th_delta (MFCC),0.007753333333333333,0.006720467594199431
