Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
baseline_female,Boruta,10,SVM_RBF,3,0.4500514373894347,0.7333333333333334,0.6111111111111112,0.875,0.7430555555555556,0.6923076923076923
baseline_female,Boruta,10,SVM_RBF_TUNED,3,0.40863470634825333,0.85,0.9444444444444444,0.375,0.6597222222222222,0.7692307692307693
baseline_female,Boruta,20,RandomForest,3,0.6719840027857806,0.8823529411764706,0.8333333333333334,0.875,0.8541666666666667,0.8461538461538461
baseline_female,Boruta,20,RandomForest_TUNED,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,20,NeuralNetwork,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,20,NeuralNetwork_TUNED,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,20,NaiveBayes,3,0.4444444444444444,0.6153846153846153,0.4444444444444444,1.0,0.7222222222222222,0.6153846153846154
baseline_female,Boruta,20,LogisticRegression,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,20,AdaBoost,3,0.5529203373641627,0.8125000000000001,0.7222222222222222,0.875,0.7986111111111112,0.7692307692307693
baseline_female,Boruta,20,AdaBoost_TUNED,3,0.5529203373641627,0.8125000000000001,0.7222222222222222,0.875,0.7986111111111112,0.7692307692307693
baseline_female,Boruta,20,SVM_RBF,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,20,SVM_RBF_TUNED,3,0.5417363388859614,0.878048780487805,1.0,0.375,0.6875,0.8076923076923077
baseline_female,Boruta,30,RandomForest,3,0.8432740427115678,0.9411764705882353,0.8888888888888888,1.0,0.9444444444444444,0.9230769230769231
baseline_female,Boruta,30,RandomForest_TUNED,3,0.7200822998230956,0.8750000000000001,0.7777777777777778,1.0,0.8888888888888888,0.8461538461538461
baseline_female,Boruta,30,NeuralNetwork,3,0.5659164584181102,0.8571428571428571,0.8333333333333334,0.75,0.7916666666666667,0.8076923076923077
baseline_female,Boruta,30,NeuralNetwork_TUNED,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,30,NaiveBayes,3,0.5708992257184502,0.7586206896551725,0.6111111111111112,1.0,0.8055555555555556,0.7307692307692307
baseline_female,Boruta,30,LogisticRegression,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,30,AdaBoost,3,0.38575837490522974,0.75,0.6666666666666666,0.75,0.7083333333333333,0.6923076923076923
baseline_female,Boruta,30,AdaBoost_TUNED,3,0.3294039229342062,0.7647058823529411,0.7222222222222222,0.625,0.6736111111111112,0.6923076923076923
baseline_female,Boruta,30,SVM_RBF,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,30,SVM_RBF_TUNED,3,0.0,0.8181818181818181,1.0,0.0,0.5,0.6923076923076923
baseline_female,Boruta,40,RandomForest,3,0.8432740427115678,0.9411764705882353,0.8888888888888888,1.0,0.9444444444444444,0.9230769230769231
baseline_female,Boruta,40,RandomForest_TUNED,3,0.778498944161523,0.9090909090909091,0.8333333333333334,1.0,0.9166666666666667,0.8846153846153846
baseline_female,Boruta,40,NeuralNetwork,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,40,NeuralNetwork_TUNED,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,40,NaiveBayes,3,0.6666666666666666,0.8387096774193548,0.7222222222222222,1.0,0.8611111111111112,0.8076923076923077
baseline_female,Boruta,40,LogisticRegression,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,40,AdaBoost,3,0.5529203373641627,0.8125000000000001,0.7222222222222222,0.875,0.7986111111111112,0.7692307692307693
baseline_female,Boruta,40,AdaBoost_TUNED,3,0.7200822998230956,0.8750000000000001,0.7777777777777778,1.0,0.8888888888888888,0.8461538461538461
baseline_female,Boruta,40,SVM_RBF,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,40,SVM_RBF_TUNED,3,0.2809003238667948,0.8292682926829269,0.9444444444444444,0.25,0.5972222222222222,0.7307692307692307
baseline_female,Boruta,50,RandomForest,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,50,RandomForest_TUNED,3,0.778498944161523,0.9090909090909091,0.8333333333333334,1.0,0.9166666666666667,0.8846153846153846
baseline_female,Boruta,50,NeuralNetwork,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
baseline_female,Boruta,50,NeuralNetwork_TUNED,3,0.6388888888888888,0.8888888888888888,0.8888888888888888,0.75,0.8194444444444444,0.8461538461538461
