Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
baseline,mRMR,20,NaiveBayes,2,0.17408906882591094,0.7894736842105263,0.7894736842105263,0.38461538461538464,0.5870445344129555,0.6862745098039216
baseline,mRMR,20,LogisticRegression,2,0.22706406812125787,0.7605633802816901,0.7105263157894737,0.5384615384615384,0.6244939271255061,0.6666666666666666
baseline,mRMR,20,AdaBoost,2,0.34594709999533957,0.8266666666666665,0.8157894736842105,0.5384615384615384,0.6771255060728745,0.7450980392156863
baseline,mRMR,20,AdaBoost_TUNED,2,0.4467659691368385,0.8533333333333334,0.8421052631578947,0.6153846153846154,0.728744939271255,0.7843137254901961
baseline,mRMR,20,SVM_RBF,2,0.3193520527015302,0.8500000000000001,0.8947368421052632,0.38461538461538464,0.6396761133603239,0.7647058823529411
baseline,mRMR,20,SVM_RBF_TUNED,2,0.16406940580098942,0.8470588235294116,0.9473684210526315,0.15384615384615385,0.5506072874493927,0.7450980392156863
baseline,mRMR,30,RandomForest,2,0.24023053582400655,0.8205128205128205,0.8421052631578947,0.38461538461538464,0.6133603238866396,0.7254901960784313
baseline,mRMR,30,RandomForest_TUNED,2,0.3119642714053126,0.8311688311688312,0.8421052631578947,0.46153846153846156,0.6518218623481782,0.7450980392156863
baseline,mRMR,30,NeuralNetwork,2,0.3193520527015302,0.8500000000000001,0.8947368421052632,0.38461538461538464,0.6396761133603239,0.7647058823529411
baseline,mRMR,30,NeuralNetwork_TUNED,2,0.2777503469992803,0.8354430379746836,0.868421052631579,0.38461538461538464,0.6265182186234818,0.7450980392156863
baseline,mRMR,30,NaiveBayes,2,0.2773279352226721,0.8157894736842104,0.8157894736842105,0.46153846153846156,0.638663967611336,0.7254901960784313
baseline,mRMR,30,LogisticRegression,2,0.21491296923517456,0.7837837837837838,0.7631578947368421,0.46153846153846156,0.6123481781376519,0.6862745098039216
baseline,mRMR,30,AdaBoost,2,0.24512823085384058,0.8,0.7894736842105263,0.46153846153846156,0.6255060728744939,0.7058823529411765
baseline,mRMR,30,AdaBoost_TUNED,2,0.34594709999533957,0.8266666666666665,0.8157894736842105,0.5384615384615384,0.6771255060728745,0.7450980392156863
baseline,mRMR,30,SVM_RBF,2,0.20536002420422675,0.8433734939759038,0.9210526315789473,0.23076923076923078,0.5759109311740891,0.7450980392156863
baseline,mRMR,30,SVM_RBF_TUNED,2,0.2610689843893829,0.8571428571428571,0.9473684210526315,0.23076923076923078,0.5890688259109311,0.7647058823529411
