Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline,Boruta,20,tqwt_stdValue_dec_12 (TQWT),0.010836276674025013,0.009347761507524224
baseline,Boruta,20,tqwt_entropy_shannon_dec_13 (TQWT),0.009944444444444447,0.00851855559785133
baseline,Boruta,20,tqwt_entropy_shannon_dec_11 (TQWT),0.009893378226711557,0.010473898861232863
baseline,Boruta,20,std_9th_delta (MFCC),0.009848544973544973,0.007311991578096305
baseline,Boruta,20,std_11th_delta (MFCC),0.008407407407407409,0.006752027226686479
baseline,Boruta,20,std_10th_delta_delta (MFCC),0.008231299927378359,0.0070869220794887245
baseline,Boruta,20,std_8th_delta (MFCC),0.00816372332597498,0.0086950192102064
baseline,Boruta,20,tqwt_TKEO_std_dec_11 (TQWT),0.007663860830527495,0.010389599589889114
baseline,Boruta,20,std_Log_energy (MFCC),0.006855335533553356,0.0062103097323158996
baseline,Boruta,20,tqwt_stdValue_dec_13 (TQWT),0.0057440087145969486,0.004468416869715826
baseline_male,Boruta,20,std_delta_delta_log_energy (MFCC),0.028735470085470092,0.029907097578471667
baseline_male,Boruta,20,tqwt_kurtosisValue_dec_18 (TQWT),0.024652777777777777,0.018308675435801794
baseline_male,Boruta,20,std_6th_delta_delta (MFCC),0.022649145299145294,0.01695575060441853
baseline_male,Boruta,20,tqwt_entropy_log_dec_35 (TQWT),0.022469907407407407,0.016109108767427847
baseline_male,Boruta,20,std_delta_log_energy (MFCC),0.020773504273504273,0.022132168591770033
baseline_male,Boruta,20,tqwt_energy_dec_26 (TQWT),0.02024537037037037,0.025148099077248704
baseline_male,Boruta,20,tqwt_entropy_log_dec_33 (TQWT),0.016858796296296295,0.013953299589083189
baseline_male,Boruta,20,mean_MFCC_2nd_coef (MFCC),0.01658538011695906,0.017401396722249843
baseline_male,Boruta,20,std_6th_delta (MFCC),0.016390058479532163,0.01451487279563839
baseline_male,Boruta,20,std_7th_delta_delta (MFCC),0.015778205128205127,0.011180455908133288
baseline_male,Boruta,20,tqwt_entropy_log_dec_12 (TQWT),0.015164750957854405,0.01659826027695369
baseline_male,Boruta,20,tqwt_entropy_log_dec_34 (TQWT),0.014974537037037038,0.012886669232742103
baseline_male,Boruta,20,tqwt_entropy_shannon_dec_12 (TQWT),0.014462643678160919,0.019383001522269808
baseline_male,Boruta,20,std_11th_delta_delta (MFCC),0.014004444444444444,0.0075087523172203095
baseline_male,Boruta,20,tqwt_energy_dec_11 (TQWT),0.013630158730158728,0.016092188246756525
baseline_male,Boruta,20,std_7th_delta (MFCC),0.01331578947368421,0.01001717442500628
baseline_male,Boruta,20,tqwt_energy_dec_12 (TQWT),0.013256038647342996,0.02000685298666077
baseline_male,Boruta,20,tqwt_entropy_log_dec_11 (TQWT),0.013251587301587302,0.010145227224017766
baseline_male,Boruta,20,tqwt_TKEO_std_dec_12 (TQWT),0.012813756613756614,0.016798282478554822
baseline_male,Boruta,20,tqwt_TKEO_mean_dec_13 (TQWT),0.012593650793650792,0.01232512122236991
baseline_male,Boruta,20,tqwt_maxValue_dec_12 (TQWT),0.012342995169082124,0.01182918610210405
baseline_male,Boruta,20,apq11Shimmer (Baseline),0.012211111111111114,0.010194774810334626
baseline_male,Boruta,20,std_9th_delta_delta (MFCC),0.012109829059829057,0.010912107781217902
baseline_male,Boruta,20,std_8th_delta_delta (MFCC),0.010481623931623933,0.0069831286614379685
baseline_male,Boruta,20,tqwt_TKEO_std_dec_13 (TQWT),0.010469841269841268,0.010692371395733785
baseline_male,Boruta,20,tqwt_energy_dec_27 (TQWT),0.010120634920634919,0.011001250298943666
baseline_male,Boruta,20,tqwt_stdValue_dec_11 (TQWT),0.009864066193853426,0.009759338280100161
baseline_male,Boruta,20,tqwt_TKEO_std_dec_11 (TQWT),0.009340425531914893,0.012511722635580307
baseline_male,Boruta,20,tqwt_entropy_shannon_dec_11 (TQWT),0.00904373522458629,0.010225273027558893
baseline_male,Boruta,20,tqwt_TKEO_mean_dec_12 (TQWT),0.00889506172839506,0.011181482845153756
baseline_male,Boruta,20,std_12th_delta (MFCC),0.008733333333333334,0.007152930477392772
baseline_male,Boruta,20,tqwt_entropy_shannon_dec_13 (TQWT),0.008358730158730157,0.008277724102717867
baseline_male,Boruta,20,std_9th_delta (MFCC),0.007904700854700854,0.006641649126809519
baseline_male,Boruta,20,std_Log_energy (MFCC),0.007826530612244897,0.008111942207268026
baseline_male,Boruta,20,std_11th_delta (MFCC),0.007753333333333333,0.00672046759419943
baseline_male,Boruta,20,std_12th_delta_delta (MFCC),0.007648888888888889,0.00836370920295724
baseline_male,Boruta,20,tqwt_stdValue_dec_12 (TQWT),0.00764814814814815,0.009917960074922173
baseline_male,Boruta,20,std_8th_delta (MFCC),0.0073716744913928005,0.0075444153726400825
baseline_male,Boruta,20,tqwt_stdValue_dec_13 (TQWT),0.006188888888888888,0.004758599203732793
baseline_male,Boruta,20,std_10th_delta_delta (MFCC),0.006110441767068274,0.006004065067926664
baseline_female,Boruta,20,tqwt_energy_dec_26 (TQWT),0.050261904761904765,0.03077934681691914
baseline_female,Boruta,20,std_delta_delta_log_energy (MFCC),0.046769581056466294,0.031702849369571316
baseline_female,Boruta,20,mean_MFCC_2nd_coef (MFCC),0.03583438155136269,0.027733026322156042
baseline_female,Boruta,20,tqwt_entropy_log_dec_12 (TQWT),0.031165404040404045,0.01745116166181941
baseline_female,Boruta,20,std_delta_log_energy (MFCC),0.028476320582877964,0.023225597023096935
baseline_female,Boruta,20,tqwt_kurtosisValue_dec_18 (TQWT),0.027658730158730153,0.01576389485350562
baseline_female,Boruta,20,tqwt_entropy_log_dec_33 (TQWT),0.024081196581196587,0.018075054832769034
baseline_female,Boruta,20,std_6th_delta_delta (MFCC),0.023705828779599262,0.020088960810598216
baseline_female,Boruta,20,std_7th_delta_delta (MFCC),0.021924863387978142,0.012977508393605291
baseline_female,Boruta,20,tqwt_entropy_shannon_dec_12 (TQWT),0.021459595959595956,0.017645951670366006
baseline_female,Boruta,20,tqwt_TKEO_std_dec_12 (TQWT),0.01970138888888889,0.018604029167833082
baseline_female,Boruta,20,tqwt_maxValue_dec_12 (TQWT),0.01966666666666667,0.011618978842568
