Dataset,Method,N_Features,Classifier,Outer_Fold,Inner_Fold,Split,MCC,F1,Sensitivity,Specificity,BACC,Accuracy
male,mRMR,10,NeuralNetwork_TUNED,1,1,val,0.47455475311913253,0.8928571428571429,0.8620689655172413,0.6666666666666666,0.764367816091954,0.8285714285714286
male,mRMR,10,NeuralNetwork_TUNED,1,1,train,0.8345229603962802,0.962962962962963,0.9285714285714286,1.0,0.9642857142857143,0.9411764705882353
male,mRMR,10,SVM_RBF_TUNED,1,1,val,0.5412294272573258,0.9354838709677419,1.0,0.3333333333333333,0.6666666666666666,0.8857142857142857
male,mRMR,10,SVM_RBF_TUNED,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,RandomForest,1,2,val,0.6791523742539991,0.9473684210526316,0.9642857142857143,0.6666666666666666,0.8154761904761905,0.9117647058823529
male,mRMR,10,RandomForest,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NeuralNetwork,1,2,val,0.5952380952380952,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.8823529411764706
male,mRMR,10,NeuralNetwork,1,2,train,0.870571500132014,0.972972972972973,0.9473684210526315,1.0,0.9736842105263157,0.9565217391304348
male,mRMR,10,NaiveBayes,1,2,val,0.5275241065994879,0.9090909090909091,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.8529411764705882
male,mRMR,10,NaiveBayes,1,2,train,0.6170300809990545,0.9401709401709402,0.9649122807017544,0.5833333333333334,0.7741228070175439,0.8985507246376812
male,mRMR,10,LogisticRegression,1,2,val,0.5952380952380952,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.8823529411764706
male,mRMR,10,LogisticRegression,1,2,train,0.7137379674385917,0.9357798165137614,0.8947368421052632,0.9166666666666666,0.9057017543859649,0.8985507246376812
male,mRMR,10,AdaBoost,1,2,val,0.6791523742539991,0.9473684210526316,0.9642857142857143,0.6666666666666666,0.8154761904761905,0.9117647058823529
male,mRMR,10,AdaBoost,1,2,train,0.870571500132014,0.972972972972973,0.9473684210526315,1.0,0.9736842105263157,0.9565217391304348
male,mRMR,10,SVM_RBF,1,2,val,0.4613110466630937,0.912280701754386,0.9285714285714286,0.5,0.7142857142857143,0.8529411764705882
male,mRMR,10,SVM_RBF,1,2,train,0.8024729579850113,0.9541284403669724,0.9122807017543859,1.0,0.956140350877193,0.927536231884058
male,mRMR,10,RandomForest_TUNED,1,2,val,0.6791523742539991,0.9473684210526316,0.9642857142857143,0.6666666666666666,0.8154761904761905,0.9117647058823529
male,mRMR,10,RandomForest_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,AdaBoost_TUNED,1,2,val,0.5952380952380952,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.8823529411764706
male,mRMR,10,AdaBoost_TUNED,1,2,train,0.9523038333920102,0.9911504424778761,0.9824561403508771,1.0,0.9912280701754386,0.9855072463768116
male,mRMR,10,NeuralNetwork_TUNED,1,2,val,0.5952380952380952,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.8823529411764706
male,mRMR,10,NeuralNetwork_TUNED,1,2,train,0.9523038333920102,0.9911504424778761,0.9824561403508771,1.0,0.9912280701754386,0.9855072463768116
male,mRMR,10,SVM_RBF_TUNED,1,2,val,-0.11572751247156893,0.8666666666666666,0.9285714285714286,0.0,0.4642857142857143,0.7647058823529411
male,mRMR,10,SVM_RBF_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,RandomForest,1,3,val,0.24346971907218834,0.8771929824561403,0.8928571428571429,0.3333333333333333,0.6130952380952381,0.7941176470588235
male,mRMR,10,RandomForest,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NeuralNetwork,1,3,val,0.5275241065994879,0.9090909090909091,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.8529411764705882
male,mRMR,10,NeuralNetwork,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NaiveBayes,1,3,val,0.39285714285714285,0.8928571428571429,0.8928571428571429,0.5,0.6964285714285714,0.8235294117647058
male,mRMR,10,NaiveBayes,1,3,train,0.5611790446774345,0.9203539823008849,0.9122807017543859,0.6666666666666666,0.7894736842105263,0.8695652173913043
male,mRMR,10,LogisticRegression,1,3,val,0.42176248989638454,0.8679245283018867,0.8214285714285714,0.6666666666666666,0.7440476190476191,0.7941176470588235
male,mRMR,10,LogisticRegression,1,3,train,0.7444869370272192,0.9454545454545454,0.9122807017543859,0.9166666666666666,0.9144736842105263,0.9130434782608695
male,mRMR,10,AdaBoost,1,3,val,0.145910923101986,0.8363636363636364,0.8214285714285714,0.3333333333333333,0.5773809523809523,0.7352941176470589
male,mRMR,10,AdaBoost,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
